,codigo_establecimiento,codigo_ss,nombre_ss,nombre_establecimiento,nombre_comuna
2328,110432.0,10.0,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),Isla de Maipo
2329,110375.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Isla de Maipo,Isla de Maipo
2330,200876.0,10.0,Servicio de Salud Metropolitano Occidente,SUR Isla de Maipo,Isla de Maipo
2331,200127.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU Isla de Maipo,Isla de Maipo
2332,113890.0,13.0,Servicio de Salud Metropolitano Sur,SAPU Buin,Buin
2333,113390.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dr. Héctor García,Buin
2334,110775.0,10.0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar La Islita,Isla de Maipo
2335,113333.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Alto Jahuel,Buin
2336,200966.0,13.0,Servicio de Salud Metropolitano Sur,SUR Alto Jahuel,Buin
2337,106418.0,6.0,Servicio de Salud Valparaíso San Antonio,Posta de Salud Rural Cuncumén (San Antonio),San Antonio
2338,113320.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Maipo,Buin
2339,200968.0,13.0,Servicio de Salud Metropolitano Sur,SUR Maipo,Buin
2340,110425.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar La Islita,Isla de Maipo
2341,200205.0,13.0,SEREMI Metropolitana de Santiago,Centro Médico y Dental Santa Catalina,Buin
2342,113150.0,13.0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin
2343,201098.0,13.0,SEREMI Metropolitana de Santiago,Centro Médico KINEROD,Buin
2344,110470.0,10.0,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural Las Mercedes ( María Pinto ),Maria Pinto
2345,110485.0,10.0,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural Loica,San Pedro
2346,113246.0,13.0,SEREMI Metropolitana de Santiago,Centro Asistencial AChS Buin,Buin
2347,200385.0,10.0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar San Vicente de Naltagua,Isla de Maipo
2348,114333.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque
2349,113790.0,13.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Dr. Héctor García,Buin
2350,110492.0,10.0,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural Nihue,San Pedro
2351,110379.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Francisco Boris Soler,Melipilla
2352,200123.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU Dr. Francisco Boris Soler,Melipilla
2353,200693.0,,No Aplica,Servicio Médico Legal Melipilla,Melipilla
2354,110150.0,10.0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
2355,113406.0,13.0,Servicio de Salud Metropolitano Sur,Posta de Salud Rural El Recurso,Buin
2356,110625.0,10.0,Servicio de Salud Metropolitano Occidente,COSAM Melipilla,Melipilla
2357,200252.0,13.0,SEREMI Metropolitana de Santiago,Centro de Salud La Araucana Salud,Melipilla
2358,200789.0,13.0,SEREMI Metropolitana de Santiago,Clínica San Agustín de Melipilla,Melipilla
2359,200454.0,10.0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Lo Chacón,El Monte
2360,201217.0,13.0,SEREMI Metropolitana de Santiago,Centro Odontologico Uno Salud Dental Gran Avenida,San Miguel
2361,110271.0,13.0,SEREMI Metropolitana de Santiago,Centro de Salud Mutual CChC Melipilla,Melipilla
2362,200965.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Florencia,Melipilla
2363,200136.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU El Monte,El Monte
2364,110370.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar El Monte,El Monte
2365,110378.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Edelberto Elgueta,Melipilla
2366,200135.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU Dr. Edelberto Elgueta,Melipilla
2367,110268.0,13.0,SEREMI Metropolitana de Santiago,Clínica del Trabajador AChS,Melipilla
2368,110781.0,10.0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Obispo Pablo Lizama,Melipilla
2369,200365.0,10.0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Villa Los Presidentes,Talagante
2370,110778.0,10.0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Padre Demetrio Bravo,Melipilla
2371,110270.0,13.0,SEREMI Metropolitana de Santiago,Clínica Los Maitenes,Melipilla
2372,114403.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Santa Rita,Pirque
2373,114612.0,14.0,Servicio de Salud Metropolitano Sur Oriente,COSAM Pirque,Pirque
2374,113407.0,13.0,Servicio de Salud Metropolitano Sur,Posta de Salud Rural Los Morros,Buin
2375,200119.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU Dr. Alberto Allende Jones,Talagante
2376,110390.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Alberto Allende Jones,Talagante
2377,110623.0,10.0,Servicio de Salud Metropolitano Occidente,COSAM Talagante,Talagante
2378,114406.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural San Vicente,Pirque
2379,110130.0,10.0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
2380,110279.0,13.0,SEREMI Metropolitana de Santiago,Centro Asistencial AChS Talagante,Talagante
2381,200886.0,13.0,SEREMI Metropolitana de Santiago,Centro Médico Clínica Maitenes - Talagante,Talagante
2382,113728.0,13.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Lo Herrera,San Bernardo
2383,200251.0,13.0,SEREMI Metropolitana de Santiago,Centro de Salud Esmeralda,Talagante
2384,110891.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU Marcela Jacques Vargas,Talagante
2385,200479.0,10.0,Servicio de Salud Metropolitano Occidente,SAR Oriente María Eugenia Torres,Talagante
2386,110219.0,13.0,SEREMI Metropolitana de Santiago,Centro de Salud Mutual CChC Talagante,Talagante
2387,110381.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Melipilla
2388,113713.0,13.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Ribera del Maipo,San Bernardo
2389,106337.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro de Salud Familiar Fernando Rodriguez Vicuña,Santo Domingo
2390,200730.0,6.0,Servicio de Salud Valparaíso San Antonio,SUR Rocas de Santo Domingo,Santo Domingo
2391,114102.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Hospital San José de Maipo,San José de Maipo
2392,200200.0,14.0,Servicio de Salud Metropolitano Sur Oriente,COSAM San José de Maipo,San José de Maipo
2393,200729.0,6.0,Servicio de Salud Valparaíso San Antonio,SUR Juan Fernández,Juan Fernández
2394,106400.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro de Salud Familiar Juan Fernández,Juan Fernández
2395,113413.0,13.0,Servicio de Salud Metropolitano Sur,Posta de Salud Rural Santa Inés,Calera de Tango
2396,113321.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Calera de Tango,Calera de Tango
2397,114310.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. José Manuel Balmaceda,Pirque
2398,200932.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU Dr. José Manuel Balmaceda,Pirque
2399,106419.0,6.0,Servicio de Salud Valparaíso San Antonio,Posta de Salud Rural San Juan de San Antonio,San Antonio
2400,200064.0,13.0,SEREMI Metropolitana de Santiago,Integramédica Mall Plaza Sur,San Bernardo
2401,106422.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro Comunitario de Salud Familiar Lo Gallardo,San Antonio
2402,110276.0,13.0,SEREMI Metropolitana de Santiago,Fundación Vida Nueva (Clínica Psiquiátrica),Peñaflor
2403,114321.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Cardenal Silva Henríquez,Puente Alto
2404,114821.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU Cardenal Silva Henríquez de Puente Alto,Puente Alto
2405,114826.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU Karol Wojtyla,Puente Alto
2406,114326.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Karol Wojtyla,Puente Alto
2407,113334.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Los Bajos de San Agustín,Calera de Tango
2408,200967.0,13.0,Servicio de Salud Metropolitano Sur,SUR Los Bajos de San Agustín,Calera de Tango
2409,113244.0,13.0,SEREMI Metropolitana de Santiago,Clínica de Cirugía Plástica,San Bernardo
2410,114312.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Gerónimo,Puente Alto
2411,114812.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU San Gerónimo,Puente Alto
2412,114401.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Puntilla,Pirque
2413,200375.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro Especialidades Primarias San Lazaro,Puente Alto
2414,106729.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro Comunitario de Salud Familiar Tejas Verdes,San Antonio
2415,114613.0,14.0,Servicio de Salud Metropolitano Sur Oriente,COSAM CEIF Centro,Puente Alto
2416,114323.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Madre Teresa de Calcuta Red de Salud UC CHRISTUS,Puente Alto
2417,200282.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Referencia de Salud Hospital Provincia Cordillera,Puente Alto
2418,113828.0,13.0,Servicio de Salud Metropolitano Sur,SAPU Padre Joan Alsina,San Bernardo
2419,113328.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Padre Joan Alsina,San Bernardo
2420,114611.0,14.0,Servicio de Salud Metropolitano Sur Oriente,COSAM Puente Alto,Puente Alto
2421,106420.0,6.0,Servicio de Salud Valparaíso San Antonio,Posta de Salud Rural Leyda,San Antonio
2422,106234.0,5.0,SEREMI De Valparaíso,Centro de Salud Mutual CChC San Antonio,San Antonio
2423,200422.0,5.0,SEREMI De Valparaíso,Laboratorio Clínico Llo-Lleo Ltda.,San Antonio
2424,114236.0,13.0,SEREMI Metropolitana de Santiago,Integramédica Puente Alto,Puente Alto
2425,200668.0,,No Aplica,Servicio Médico Legal San Antonio,San Antonio
2426,201099.0,13.0,SEREMI Metropolitana de Santiago,Servicios Médicos PEÑASalud,Peñaflor
2427,114313.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto
2428,200090.0,13.0,SEREMI Metropolitana de Santiago,Clínica Policenter,Puente Alto
2429,110278.0,13.0,SEREMI Metropolitana de Santiago,Centro Asistencial AChS Peñaflor,Peñaflor
2430,200122.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU Dr. Fernando Monckeberg,Peñaflor
2431,110140.0,10.0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
2432,110369.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Fernando Monckeberg,Peñaflor
2433,106829.0,6.0,Servicio de Salud Valparaíso San Antonio,SAR Nestor Fernández Thomas,San Antonio
2434,106329.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro de Salud Familiar Néstor Fernández Thomas,San Antonio
2435,114230.0,13.0,SEREMI Metropolitana de Santiago,Clínica Astra Puente Alto,Puente Alto
2436,201040.0,13.0,SEREMI Metropolitana de Santiago,Centro Medico de Clínica Maitenes Peñaflor,Peñaflor
2437,110308.0,10.0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Peñaflor,Peñaflor
2438,200130.0,10.0,Servicio de Salud Metropolitano Occidente,SAPU Peñaflor,Peñaflor
