,codigo_establecimiento,codigo_ss,nombre_ss,nombre_establecimiento,nombre_comuna
0,126704.0,26.0,Servicio de Salud Magallanes,Hospital Comunitario Cristina Calderón de Puerto Williams,Cabo de Hornos
1,126204.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Hospital Naval (Puerto Williams) ,Cabo de Hornos
2,126412.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Cameron,Timaukel
3,126414.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Agua Fresca,Punta Arenas
4,126102.0,26.0,Servicio de Salud Magallanes,Hospital Dr. Marco Antonio Chamorro ( Porvenir),Porvenir
5,201364.0,8.0,SEREMI Del Biobío, UNO SALUD DENTAL LOS ÁNGELES 2,Los Ángeles
6,200311.0,26.0,Servicio de Salud Magallanes,Centro Comunitario de Salud Familiar Dr. Juan Damianovic,Punta Arenas
7,200710.0,26.0,Servicio de Salud Magallanes,Complejo Miraflores (Salud Mental),Punta Arenas
8,126606.0,26.0,Servicio de Salud Magallanes,COSAM Punta Arenas,Punta Arenas
9,126801.0,26.0,Servicio de Salud Magallanes,SAR Dr. Juan Damianovic,Punta Arenas
10,126301.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Dr. Juan Damianovic,Punta Arenas
11,126203.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro de Salud Mutual CChC Punta Arenas,Punta Arenas
12,200473.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Clínico de Agostini y Cia. Ltda.,Punta Arenas
13,126228.0,26.0,Servicio de Salud Magallanes,Laboratorio Clínico Corporación Municipal Punta Arenas,Punta Arenas
14,126030.0,26.0,Servicio de Salud Magallanes,Unidad de Salud Funcionario  S.S Magallanes,Punta Arenas
15,126010.0,26.0,Servicio de Salud Magallanes,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes),Punta Arenas
16,126011.0,26.0,Servicio de Salud Magallanes,PRAIS (S.S Magallanes),Punta Arenas
17,200171.0,26.0,Servicio de Salud Magallanes,SAPU 18 de Septiembre,Punta Arenas
18,126302.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar 18 Septiembre,Punta Arenas
19,126095.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Vacunatorio SEREMI de Salud Magallanes,Punta Arenas
20,126212.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica de Recuperación Hogar de Cristo Juan Pablo II,Punta Arenas
21,200700.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro Diagnóstico  Clinica  Magallanes,Punta Arenas
22,126214.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro Médico y Dental MegaSalud S.A Punta Arenas,Punta Arenas
23,200542.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Magallanes,Punta Arenas
24,200921.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Clínico Medi-Lab S.A,Punta Arenas
25,126211.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro Médico Medvital,Punta Arenas
26,126222.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Policlínico de la Fuerzas Armadas y de Orden,Punta Arenas
27,126225.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica Croacia,Punta Arenas
28,126213.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Instituto Médico Sarmiento,Punta Arenas
29,126304.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Carlos Ibáñez,Punta Arenas
30,201069.0,26.0,Servicio de Salud Magallanes,SAPU Carlos  Ibañez,Punta Arenas
31,200691.0,,No Aplica,Servicio Médico Legal Punta Arenas,Punta Arenas
32,126227.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Central Odontológica de Magallanes de 3era Zona Naval,Punta Arenas
33,126200.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Hospital FFAA Cirujano Guzmán,Punta Arenas
34,200709.0,26.0,Servicio de Salud Magallanes,Centro Diurno (pertenece a SENAMA),Punta Arenas
35,126303.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Dr. Thomas Fenton,Punta Arenas
36,126219.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro de Rehabilitación Club de Leones Cruz del Sur,Punta Arenas
37,126300.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Dr. Mateo Bencur,Punta Arenas
38,126800.0,26.0,Servicio de Salud Magallanes,SAPU Dr. Mateo Bencur,Punta Arenas
39,201245.0,13.0,SEREMI Metropolitana de Santiago,CEINSA,Puente Alto
40,126220.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Policlínico AChS (Punta Arenas),Punta Arenas
41,126201.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica Magallanes,Punta Arenas
42,126202.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas,Punta Arenas
43,200708.0,26.0,Servicio de Salud Magallanes,UMAG (pertenece a la Facultad de Ciencias de la Salud),Punta Arenas
44,200541.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica IMET,Punta Arenas
45,126700.0,26.0,Servicio de Salud Magallanes,Centro Comunitario de Salud Familiar Dr. Mateo Bencur,Punta Arenas
46,126100.0,26.0,Servicio de Salud Magallanes,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,Punta Arenas
47,126701.0,26.0,Servicio de Salud Magallanes,Centro Comunitario de Salud Familiar Río Seco,Punta Arenas
48,126402.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Río Verde,Río Verde
49,126403.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Tehuelches,Laguna Blanca
50,126404.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Punta Delgada,San Gregorio
51,200692.0,,No Aplica,Servicio Médico Legal Puerto Natales,Natales
52,200472.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Clínico Biohealth,Natales
53,126101.0,26.0,Servicio de Salud Magallanes,Hospital Dr. Augusto Essmann Burgos ( Natales),Natales
54,126305.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Natales,Natales
55,201079.0,26.0,Servicio de Salud Magallanes,"SAPU ""Dr. Juan Lozic Perez""",Natales
56,200025.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Policlínico de Asociación Chilena de Seguridad,Natales
57,200922.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Clínico Austral,Natales
58,126413.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Dorotea,Natales
59,126090.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Oficina Sanitaria Dorotea,Natales
60,126400.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Cerro Castillo (Torres del Paine),Torres del Paine
61,126410.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Puerto Edén,Natales
62,125425.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Villa O'Higgins,O'Higgins
63,125428.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Caleta Tortel,Tortel
64,125103.0,25.0,Servicio de Salud Aysén,Hospital Lord Cochrane,Cochrane
65,125409.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Puerto Bertrand,Chile Chico
66,125410.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Puerto Guadal,Chile Chico
67,125411.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Mallín Grande,Chile Chico
68,125412.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Río Tranquilo,Río Ibáñez
69,125408.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Puerto Sánchez,Río Ibáñez
70,125102.0,25.0,Servicio de Salud Aysén,Hospital Dr. Leopoldo Ortega R. (Chile Chico),Chile Chico
71,125407.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Bahía Murta,Río Ibáñez
72,125419.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Puerto Ibáñez,Río Ibáñez
73,125420.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Cerro Castillo (Río Ibáñez),Río Ibáñez
74,125400.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Balmaceda,Coyhaique
75,125413.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural El Blanco,Coyhaique
76,125414.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Valle Simpson,Coyhaique
77,125423.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Lago Atravesado,Coyhaique
78,125300.0,25.0,Servicio de Salud Aysén,Consultorio Víctor Domingo Silva,Coyhaique
79,125201.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Policlínico del Trabajador Coyhaique,Coyhaique
80,200170.0,25.0,Servicio de Salud Aysén,SAPU Dr. Alejandro Gutiérrez,Coyhaique
81,125301.0,25.0,Servicio de Salud Aysén,Consultorio Alejandro Gutiérrez,Coyhaique
82,200256.0,25.0,Servicio de Salud Aysén,COSAM Coyhaique,Coyhaique
83,200359.0,25.0,Servicio de Salud Aysén,Centro Comunitario de Salud Familiar Alejandro Gutierrez,Coyhaique
84,200202.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Vacunatorio - Clínica Bilbao,Coyhaique
85,200441.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Centro Médico y Dental Clínica Bilbao,Coyhaique
86,200689.0,,No Aplica,Servicio Médico Legal Coyhaique,Coyhaique
87,200419.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Laboratorio Clínico Diagnóstico Análisis Coyhaique,Coyhaique
88,125200.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Centro de Salud Mutual CChC Coyhaique,Coyhaique
89,200418.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Laboratorio Clínico Thomas Ltda.,Coyhaique
90,125207.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Centro Médico y Dental XI Zona Aysén del General Carlos Ibáñez del Campo,Coyhaique
91,200514.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Servicios de Enfermería y Salud Camila Barrueto,Coyhaique
92,125100.0,25.0,Servicio de Salud Aysén,Hospital Regional (Coihaique),Coyhaique
93,125012.0,25.0,Servicio de Salud Aysén,Clínica Dental Móvil Simple. Pat. PW4067 (Coihaique),Coyhaique
94,200376.0,25.0,Servicio de Salud Aysén,Mamógrafo Digital - Ecotomógrafo Móvil. Pat. PX1462-2 (SS Aysén),Coyhaique
95,125030.0,25.0,Servicio de Salud Aysén,Unidad de Salud Funcionario  S.S Aisén,Coyhaique
96,125010.0,25.0,Servicio de Salud Aysén,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Aysén),Coyhaique
97,125011.0,25.0,Servicio de Salud Aysén,PRAIS (S.S Aisén),Coyhaique
98,125205.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Centro Clínico Militar Coyhaique,Coyhaique
99,200231.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Instituto Teletón Aysén,Coyhaique
100,125203.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Centro de Salud Mutual CChC Puerto Chacabuco,Aisén
101,125417.0,25.0,Servicio de Salud Aysén,Centro Comunitario de Salud Familiar Puerto Chacabuco,Aisén
102,125701.0,25.0,Servicio de Salud Aysén,Centro Comunitario de Salud Familiar Ribera Sur,Aisén
103,125101.0,25.0,Servicio de Salud Aysén,Hospital de Puerto Aysén,Aisén
104,125204.0,11.0,SEREMI De Aysén del General Carlos Ibáñez del Campo,Clínica de Trabajador AChS,Aisén
105,200690.0,,No Aplica,Servicio Médico Legal Puerto Aysén,Aisén
106,200380.0,25.0,Servicio de Salud Aysén,Centro de Salud Familiar Puerto Aysen,Aisén
107,125415.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Villa Ortega,Coyhaique
108,125416.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Ñireguao,Coyhaique
109,125418.0,25.0,Servicio de Salud Aysén,Centro Comunitario de Salud Familiar  Villa Mañihuales,Aisén
110,125402.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Puerto Aguirre,Aisén
111,125403.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Caleta Andrade,Aisén
112,125426.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural El Gato,Coyhaique
113,125406.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Villa Amengual,Lago Verde
114,125104.0,25.0,Servicio de Salud Aysén,Hospital Dr. Jorge Ibar (Cisnes),Cisnes
115,125405.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural La Tapera,Lago Verde
116,125421.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Puyuhuapi,Cisnes
117,125429.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Isla Toto,Cisnes
118,125404.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Lago Verde,Lago Verde
119,125427.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Melimoyu,Cisnes
120,125442.0,25.0,Servicio de Salud Aysén,Centro de Salud Familiar La Junta,Cisnes
121,125401.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Melinka,Guaitecas
122,125424.0,25.0,Servicio de Salud Aysén,Posta de Salud Rural Raúl Marín Balmaceda,Cisnes
123,124536.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural El Malito,Palena
124,124140.0,24.0,Servicio de Salud Del Reloncaví,Hospital de Palena,Palena
125,124534.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Puerto Ramírez,Palena
126,124532.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural El Frío o Santa Lucía,Chaitén
127,133558.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Inio,Quellón
128,124535.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural El Azul,Futaleufú
129,133529.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Piedras Blancas,Quellón
130,133527.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Punta Liles o Laitec,Quellón
131,133528.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Punta Paula o Coldita,Quellón
132,124145.0,24.0,Servicio de Salud Del Reloncaví,Hospital de Futaleufú,Futaleufú
133,133526.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Pelu,Quellón
134,133206.0,10.0,SEREMI De Los Lagos,Laboratorio Biolab Ltda,Quellón
135,200506.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico Corcovado,Quellón
136,133203.0,10.0,SEREMI De Los Lagos,Policlínico de la AChS Quellón,Quellón
137,200067.0,10.0,SEREMI De Los Lagos,Policlínico de la Mutual de Seguridad CChC Quellón,Quellón
138,133797.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Vista Hermosa,Quellón
139,133796.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Rukalaf,Quellón
140,200400.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico MasterLab,Quellón
141,200493.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Villa Aytue,Quellón
142,133165.0,33.0,Servicio de Salud Chiloé,Hospital de Quellón,Quellón
143,133396.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Quellón,Quellón
144,133551.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Yaldad,Quellón
145,124540.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural El Espolón,Futaleufú
146,133523.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Candelaria (Quellón),Quellón
147,133561.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Chaullín,Quellón
148,133548.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Coinco,Quellón
149,133522.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Curanue,Quellón
150,133550.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Auchac,Quellón
151,133499.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Alqui,Queilén
152,133525.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural San Juan de Chadmo,Quellón
153,133502.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Nepúe,Queilén
154,133560.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural San José,Queilén
155,133549.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Chadmo Central,Quellón
156,200076.0,24.0,Servicio de Salud Del Reloncaví,Hospital de Chaitén,Chaitén
157,133170.0,33.0,Servicio de Salud Chiloé,Hospital Comunitario de Queilén,Queilén
158,133524.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Compu,Quellón
159,133536.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Pureo,Queilén
160,133553.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Natri,Chonchi
161,133534.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural de CONTUY,Queilén
162,133500.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Apeche,Queilén
163,133501.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Pío - Pío,Queilén
164,133498.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Agoni Alto,Queilén
165,133538.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Pulpito,Chonchi
166,124533.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Chana,Chaitén
167,124520.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Talcán,Chaitén
168,133480.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Terao,Chonchi
169,124521.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Nayahue,Chaitén
170,133477.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Detif,Puqueldón
171,133745.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Huillinco,Chonchi
172,133478.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Liucura (Puqueldón),Puqueldón
173,133556.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Cucao,Chonchi
174,133511.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Capilla Antigüa,Quinchao
175,124518.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Chulín,Chaitén
176,133552.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Chaulinec La Villa,Quinchao
177,133345.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Chonchi,Chonchi
178,200733.0,33.0,Servicio de Salud Chiloé,SUR Chonchi,Chonchi
179,133483.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Petanes Bajos,Chonchi
180,133476.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Ichuac,Puqueldón
181,133469.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Quehui,Castro
182,133482.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Chanquín,Chonchi
183,133510.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Isla Alao,Quinchao
184,200735.0,33.0,Servicio de Salud Chiloé,SUR Puqueldón,Puqueldón
185,133355.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Puqueldón,Puqueldón
186,133703.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Carlina Paillacar,Quinchao
187,133554.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Curaco de Vilupulli,Chonchi
188,133470.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Chelín,Castro
189,133475.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Aldachildo,Puqueldón
190,124550.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Casa de Pesca,Chaitén
191,133466.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Curahue,Castro
192,133484.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Rauco,Chonchi
193,133503.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Quinchao,Quinchao
194,133555.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Nalhuitad,Chonchi
195,124530.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Chumeldén,Chaitén
196,133468.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Rilán,Castro
197,133471.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Yutuy,Castro
198,133509.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Isla Cahuach,Quinchao
199,133467.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Puyán,Castro
200,133283.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico y Hematológico Biolab,Castro
201,133285.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico y Hematológico Biolab Ltda. ECOSUR,Castro
202,200343.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico el Bosque,Castro
203,200316.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico Austral,Castro
204,133284.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico Austral,Castro
205,133201.0,10.0,SEREMI De Los Lagos,Centro Médico Austral,Castro
206,200442.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Gamboa,Castro
207,133278.0,10.0,SEREMI De Los Lagos,Policlínico de la AChS Castro,Castro
208,133012.0,33.0,Servicio de Salud Chiloé,Clínica Dental Móvil Triple. Pat. BKYS90 (Castro),Castro
209,133030.0,33.0,Servicio de Salud Chiloé,Unidad de Salud Funcionario   S.S Chiloé,Castro
210,133010.0,33.0,Servicio de Salud Chiloé,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Chiloé),Castro
211,133011.0,33.0,Servicio de Salud Chiloé,PRAIS (S.S Chiloé),Castro
212,133282.0,10.0,SEREMI De Los Lagos,Policlínico Instituto de Seguridad del Trabajo de Castro,Castro
213,133175.0,,No Aplica,Buque Cirujano Videla,Castro
214,200068.0,10.0,SEREMI De Los Lagos,Policlínico de la Mutual de Seguridad CChC Castro,Castro
215,133286.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico Chiloé,Castro
216,133150.0,33.0,Servicio de Salud Chiloé,Hospital de Castro,Castro
217,133375.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Dr. René Tapia Salgado,Castro
218,133160.0,33.0,Servicio de Salud Chiloé,Hospital Comunitario de Achao,Quinchao
219,133776.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Kintunien,Castro
220,200009.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Quillahue,Castro
221,200176.0,33.0,Servicio de Salud Chiloé,SAR Castro,Castro
222,133507.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Isla Quenac,Quinchao
223,133360.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Curaco de Vélez,Curaco de Vélez
224,200983.0,33.0,Servicio de Salud Chiloé,SUR Curaco de Vélez,Curaco de Vélez
225,133775.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Llau Llao,Castro
226,133505.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Isla Llingua,Quinchao
227,133506.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Isla Meulín,Quinchao
228,133513.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Palqui,Curaco de Vélez
229,133547.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Pid - Pid,Castro
230,133512.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Huyar Alto,Curaco de Vélez
231,124519.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Buill,Chaitén
232,133504.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Isla Lin-Lin,Quinchao
233,133515.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Tac,Quemchi
234,133350.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Dalcahue,Dalcahue
235,200734.0,33.0,Servicio de Salud Chiloé,SUR Dalcahue,Dalcahue
236,133472.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Mocopulli,Dalcahue
237,133473.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Quetalco,Dalcahue
238,133474.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Calén,Dalcahue
239,124731.0,24.0,Servicio de Salud Del Reloncaví,Centro Comunitario de Salud Familiar de Ayacara,Chaitén
240,133496.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Tenaún,Dalcahue
241,133514.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Mechuque,Quemchi
242,133517.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Voigue,Quemchi
243,133740.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Metahue,Quemchi
244,133546.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Puchaurán,Dalcahue
245,133497.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Quicaví,Quemchi
246,133495.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Montemar,Quemchi
247,133559.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Butalcura,Dalcahue
248,124548.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Hueque,Chaitén
249,133494.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Quinterquén,Quemchi
250,133340.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Quemchi,Quemchi
251,200732.0,33.0,Servicio de Salud Chiloé,SUR Quemchi,Quemchi
252,200449.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Puntra Degañ,Ancud
253,133493.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Morrolobos,Quemchi
254,124415.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Paso El Bolsón o Segundo Corral,Cochamó
255,133492.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Lliuco (Quemchi),Quemchi
256,133557.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Coipomo,Ancud
257,124420.0,24.0,Servicio de Salud Del Reloncaví,Centro Comunitario de Salud Familiar Hualaihué,Hualaihué
258,200082.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Chauchil,Hualaihué
259,133485.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Linao,Ancud
260,124380.0,24.0,Servicio de Salud Del Reloncaví,Centro de Salud Familiar Río Negro Hornopirén,Hualaihué
261,124418.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Rolecha,Hualaihué
262,124454.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Tabón,Calbuco
263,133489.0,33.0,Servicio de Salud Chiloé,Posta de Salud Rural Manao,Ancud
264,133325.0,33.0,Servicio de Salud Chiloé,Centro de Salud Familiar Pudeto Bajo,Ancud
265,124552.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Queullín,Calbuco
266,133725.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Bellavista,Ancud
267,124417.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Aulén,Hualaihué
268,124414.0,24.0,Servicio de Salud Del Reloncaví,Posta de Salud Rural Llanada Grande,Cochamó
269,133487.0,33.0,Servicio de Salud Chiloé,Centro Comunitario de Salud Familiar Quetalmahue,Ancud
270,133204.0,10.0,SEREMI De Los Lagos,Policlínico de la AChS Ancud,Ancud
271,200399.0,10.0,SEREMI De Los Lagos,Laboratorio Clínico Bionet S.A. - Ancud,Ancud
272,133281.0,10.0,SEREMI De Los Lagos,Policlínico Instituto de Seguridad del Trabajo de Ancud,Ancud
