,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
126,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,188,79,0,28,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
127,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,128,0,0,17,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
128,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,20,33,0,4,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
129,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,38,32,0,7,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
130,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,191,88,10,35,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
131,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,136,0,4,20,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
132,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,7,41,1,6,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
133,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,44,36,7,11,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
134,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,3,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
135,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
136,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,165,77,8,24,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
137,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,109,0,6,14,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
138,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,8,8,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
139,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,45,58,1,7,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
140,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,0,7,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
141,RN egresados solo fórmula por protección o madre grave,14,114101,24311028,13,13201,0,7,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
142,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,203,95,6,32,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
143,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,154,0,1,17,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
144,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,7,49,0,6,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
145,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,39,32,3,7,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
146,RN egresados con madres serología positiva (VIH),14,114101,29101770,13,13201,2,0,1,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
147,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
148,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,218,74,10,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
149,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,165,4,7,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
150,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,0,21,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
151,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,18,45,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
152,RN egresados con madres serología positiva (VIH),12,112101,29101770,13,13122,1,0,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
153,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,34,0,1,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
154,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,4,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
155,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,214,73,17,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
156,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,166,6,12,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
157,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,5,10,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
158,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,17,54,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
159,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,26,0,2,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
160,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,3,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
161,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,227,84,13,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
162,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,155,0,8,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
163,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,14,26,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
164,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,26,56,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
165,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,32,0,4,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
166,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,2,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
167,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,187,76,6,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
168,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,132,2,5,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
169,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,2,11,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
170,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,28,58,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
171,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),12,112101,24311027,13,13122,1,0,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
172,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,24,0,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
173,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,5,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
174,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,3,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
175,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,1,0,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
176,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,4,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
177,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,320,70,0,175,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
178,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,188,0,0,79,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
179,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,51,25,0,32,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
180,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,69,40,0,46,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
181,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,0,2,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
182,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,0,1,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
183,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,3,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
184,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,327,83,0,192,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
185,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,191,0,0,84,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
186,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,55,26,0,36,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
187,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,79,52,0,35,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
188,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,0,4,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
189,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
190,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,3,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
191,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,381,92,0,191,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
192,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,174,0,0,74,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
193,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,163,35,0,78,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
194,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,81,49,0,50,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
195,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,1,3,0,2,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
196,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
197,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,4,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
198,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,310,105,0,173,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
199,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,209,0,0,89,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
200,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,36,44,0,40,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
201,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,64,53,0,41,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
202,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,0,2,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
203,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
204,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,6,0,2,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
205,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,281,74,0,147,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
206,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,173,1,0,74,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
207,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,0,22,0,8,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
208,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,53,39,0,35,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
209,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,0,5,0,3,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
210,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
211,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,6,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia,109100,13108,09
212,Total de recién nacidos/as egresados/as,13,113100,24200134,13,13130,162,30,4,78,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
213,RN egresados con LME durante hospitalización y al alta,13,113100,24300103,13,13130,150,0,4,60,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
214,RN egresados que recuperaron LME al alta,13,113100,24311025,13,13130,4,0,0,2,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
215,RN egresados con lactancia mixta al alta,13,113100,24311026,13,13130,5,22,0,14,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
216,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113100,24311027,13,13130,0,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
217,RN egresados con madres serología positiva (VIH),13,113100,29101770,13,13130,2,0,0,2,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
218,RN egresados con madres acogidas a Ley 21.155,13,113100,29101772,13,13130,1,0,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
219,RN egresados solo fórmula por protección o madre grave,13,113100,24311028,13,13130,0,5,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
220,Total de recién nacidos/as egresados/as,13,113100,24200134,13,13130,161,51,10,83,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
221,RN egresados con LME durante hospitalización y al alta,13,113100,24300103,13,13130,144,0,10,65,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
222,RN egresados que recuperaron LME al alta,13,113100,24311025,13,13130,7,4,0,3,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
223,RN egresados con lactancia mixta al alta,13,113100,24311026,13,13130,9,41,0,14,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
224,RN egresados con madres serología positiva (VIH),13,113100,29101770,13,13130,1,0,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
225,RN egresados con madres acogidas a Ley 21.155,13,113100,29101772,13,13130,5,0,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
226,RN egresados solo fórmula por protección o madre grave,13,113100,24311028,13,13130,0,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
227,Total de recién nacidos/as egresados/as,13,113100,24200134,13,13130,187,43,3,85,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
228,RN egresados con LME durante hospitalización y al alta,13,113100,24300103,13,13130,173,0,3,69,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
229,RN egresados que recuperaron LME al alta,13,113100,24311025,13,13130,4,3,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
230,RN egresados con lactancia mixta al alta,13,113100,24311026,13,13130,6,33,0,10,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
231,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113100,24311027,13,13130,1,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
232,RN egresados con madres serología positiva (VIH),13,113100,29101770,13,13130,1,0,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
233,RN egresados con madres acogidas a Ley 21.155,13,113100,29101772,13,13130,2,0,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
234,Total de recién nacidos/as egresados/as,13,113100,24200134,13,13130,153,39,1,92,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
235,Total de recién nacidos/as egresados/as,13,113100,24200134,13,13130,171,36,4,82,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
236,RN egresados con LME durante hospitalización y al alta,13,113100,24300103,13,13130,151,0,4,69,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
237,RN egresados que recuperaron LME al alta,13,113100,24311025,13,13130,5,3,0,5,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
238,RN egresados con lactancia mixta al alta,13,113100,24311026,13,13130,5,24,0,9,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
239,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113100,24311027,13,13130,0,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
240,RN egresados con madres serología positiva (VIH),13,113100,29101770,13,13130,2,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
241,RN egresados con madres acogidas a Ley 21.155,13,113100,29101772,13,13130,7,0,0,3,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
242,RN egresados solo fórmula por protección o madre grave,13,113100,24311028,13,13130,0,3,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
243,RN egresados con LME durante hospitalización y al alta,13,113100,24300103,13,13130,142,0,1,66,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
244,RN egresados que recuperaron LME al alta,13,113100,24311025,13,13130,4,3,0,4,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
245,RN egresados con lactancia mixta al alta,13,113100,24311026,13,13130,5,30,0,19,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
246,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113100,24311027,13,13130,0,1,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
247,RN egresados con madres serología positiva (VIH),13,113100,29101770,13,13130,2,2,0,3,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
248,RN egresados con madres acogidas a Ley 21.155,13,113100,29101772,13,13130,3,1,0,1,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
249,RN egresados solo fórmula por protección o madre grave,13,113100,24311028,13,13130,0,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,113100,13130,13
250,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,108,43,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
251,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,90,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
252,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
253,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,14,33,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
254,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,4,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
