,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
31,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,2,0,0,2,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
32,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,9,0,1,3,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
33,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,0,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
34,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,24,30,1,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
35,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,5,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
36,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,3,,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
37,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
38,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,22,24,8,20,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
39,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,120,39,12,59,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
40,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,71,0,4,28,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
41,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
42,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,167,73,10,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
43,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,127,3,10,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
