,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Col01,Col02,Col03,1° mes,3° mes,6° mes,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación
5476458,12,14,2024,114333,A0200002,13,13202,13.0,5.0,,3.0,2.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,LACTANCIA MATERNA EXCLUSIVA
5476511,12,14,2024,114333,A0200001,13,13202,28.0,7.0,,5.0,4.0,4.0,5.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,MENORES CONTROLADOS
5477105,10,14,2024,114333,A0200002,13,13202,11.0,2.0,0.0,3.0,2.0,4.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,LACTANCIA MATERNA EXCLUSIVA
5477111,10,14,2024,114333,A0200001,13,13202,31.0,3.0,0.0,10.0,4.0,5.0,9.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,MENORES CONTROLADOS
5477268,5,14,2024,114401,A0200002,13,13202,5.0,,1.0,1.0,1.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Puntilla,Pirque,LACTANCIA MATERNA EXCLUSIVA
5477480,4,14,2024,114333,A0200001,13,13202,24.0,2.0,0.0,2.0,5.0,11.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,MENORES CONTROLADOS
5477513,4,14,2024,114333,A0200002,13,13202,13.0,2.0,0.0,2.0,3.0,6.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,LACTANCIA MATERNA EXCLUSIVA
5477525,9,14,2024,114401,A0200001,13,13202,3.0,,,2.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Puntilla,Pirque,MENORES CONTROLADOS
5477530,9,14,2024,114401,A0200002,13,13202,1.0,,,,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Puntilla,Pirque,LACTANCIA MATERNA EXCLUSIVA
5477533,11,14,2024,114333,A0200001,13,13202,24.0,5.0,,3.0,5.0,5.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,MENORES CONTROLADOS
5477822,11,14,2024,114333,A0200002,13,13202,14.0,4.0,,2.0,3.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,LACTANCIA MATERNA EXCLUSIVA
5477968,9,14,2024,114333,A0200001,13,13202,21.0,4.0,2.0,4.0,5.0,4.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,MENORES CONTROLADOS
5478327,2,14,2024,114333,A0200002,13,13202,11.0,2.0,0.0,4.0,3.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,LACTANCIA MATERNA EXCLUSIVA
5478356,2,14,2024,114401,A0200001,13,13202,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Puntilla,Pirque,MENORES CONTROLADOS
5478469,1,14,2024,114401,A0200001,13,13202,3.0,1.0,,1.0,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Puntilla,Pirque,MENORES CONTROLADOS
5478513,1,14,2024,114401,A0200002,13,13202,2.0,1.0,,,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Puntilla,Pirque,LACTANCIA MATERNA EXCLUSIVA
5478526,1,14,2024,114333,A0200001,13,13202,37.0,9.0,,12.0,7.0,4.0,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,MENORES CONTROLADOS
5478536,1,14,2024,114333,A0200002,13,13202,19.0,7.0,,5.0,5.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,LACTANCIA MATERNA EXCLUSIVA
5478771,7,14,2024,114333,A0200002,13,13202,14.0,4.0,0.0,2.0,2.0,6.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,LACTANCIA MATERNA EXCLUSIVA
5478808,7,14,2024,114333,A0200001,13,13202,28.0,6.0,0.0,4.0,2.0,8.0,6.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Rural El Principal,Pirque,MENORES CONTROLADOS
