,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
27,4,13,113324,A0200002,13,13105,7,2,6,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113324,13105,13
28,4,13,113324,A0200001,13,13105,12,5,8,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS,113324,13105,13
29,3,13,113324,A0200002,13,13105,6,3,2,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113324,13105,13
30,3,13,113324,A0200001,13,13105,16,7,8,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS,113324,13105,13
31,2,13,113324,A0200002,13,13105,7,6,6,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113324,13105,13
32,3,14,200475,A0200002,13,13110,0,0,4,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida,LACTANCIA MATERNA EXCLUSIVA,200475,13110,14
33,3,14,200475,A0200001,13,13110,1,0,7,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida,MENORES CONTROLADOS,200475,13110,14
34,4,14,202041,A0200001,13,13110,1,3,1,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida,MENORES CONTROLADOS,202041,13110,14
35,4,14,114331,A0200002,13,13110,24,20,13,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,LACTANCIA MATERNA EXCLUSIVA,114331,13110,14
36,2,14,200475,A0200002,13,13110,2,0,1,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida,LACTANCIA MATERNA EXCLUSIVA,200475,13110,14
37,2,14,200475,A0200001,13,13110,2,1,1,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida,MENORES CONTROLADOS,200475,13110,14
38,2,14,202041,A0200001,13,13110,2,2,2,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida,MENORES CONTROLADOS,202041,13110,14
