,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
767,1,11,111378,A0200001,13,13119,9,6,12,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Dr. Iván Insunza,Maipú,MENORES CONTROLADOS,111378,13119,11
768,2,11,111784,A0200002,13,13119,1,1,0,Servicio de Salud Metropolitano Central,Centro Comunitario de Salud Familiar Bueras,Maipú,LACTANCIA MATERNA EXCLUSIVA,111784,13119,11
769,1,11,111400,A0200001,13,13119,0,0,0,Servicio de Salud Metropolitano Central,Centro Comunitario de Salud Familiar Rinconada de Maipú,Maipú,MENORES CONTROLADOS,111400,13119,11
770,4,14,114324,A0200002,13,13110,8,5,8,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Santa Amalia,La Florida,LACTANCIA MATERNA EXCLUSIVA,114324,13110,14
771,4,14,114324,A0200001,13,13110,22,16,15,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Santa Amalia,La Florida,MENORES CONTROLADOS,114324,13110,14
772,1,9,109104,A0200001,13,13303,0,0,0,Servicio de Salud Metropolitano Norte,Hospital de Til Til,Tiltil,MENORES CONTROLADOS,109104,13303,09
773,1,9,200554,A0200001,13,13108,6,4,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Las Enredaderas,Independencia,MENORES CONTROLADOS,200554,13108,09
774,1,9,109716,A0200002,13,13301,3,1,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Esmeralda,Colina,LACTANCIA MATERNA EXCLUSIVA,109716,13301,09
775,1,12,200265,A0200002,13,13123,,,2,Servicio de Salud Metropolitano Oriente,Centro Comunitario de Salud Familiar Andacollo,Providencia,LACTANCIA MATERNA EXCLUSIVA,200265,13123,12
776,1,12,200265,A0200001,13,13123,,,2,Servicio de Salud Metropolitano Oriente,Centro Comunitario de Salud Familiar Andacollo,Providencia,MENORES CONTROLADOS,200265,13123,12
777,1,9,200554,A0200002,13,13108,5,4,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Las Enredaderas,Independencia,LACTANCIA MATERNA EXCLUSIVA,200554,13108,09
778,1,9,201091,A0200002,13,13125,17,14,6,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Marta Ugarte Román,Quilicura,LACTANCIA MATERNA EXCLUSIVA,201091,13125,09
779,1,9,201091,A0200001,13,13125,23,21,17,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Marta Ugarte Román,Quilicura,MENORES CONTROLADOS,201091,13125,09
780,1,9,109323,A0200002,13,13107,5,4,7,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Salvador Allende Gossens,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,109323,13107,09
781,1,9,109302,A0200001,13,13104,9,13,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,MENORES CONTROLADOS,109302,13104,09
782,2,9,109310,A0200001,13,13301,35,24,23,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Colina,Colina,MENORES CONTROLADOS,109310,13301,09
783,3,9,109104,A0200002,13,13303,4,5,3,Servicio de Salud Metropolitano Norte,Hospital de Til Til,Tiltil,LACTANCIA MATERNA EXCLUSIVA,109104,13303,09
784,3,9,109302,A0200002,13,13104,6,8,10,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109302,13104,09
785,1,9,109320,A0200001,13,13303,3,6,1,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Huertos Familiares,Tiltil,MENORES CONTROLADOS,109320,13303,09
786,1,9,109301,A0200002,13,13127,22,5,12,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Recoleta,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109301,13127,09
787,2,9,109410,A0200002,13,13303,,1,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural La Capilla de Caleu,Tiltil,LACTANCIA MATERNA EXCLUSIVA,109410,13303,09
788,3,9,109302,A0200001,13,13104,12,15,11,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,MENORES CONTROLADOS,109302,13104,09
789,1,9,109301,A0200001,13,13127,36,10,32,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Recoleta,Recoleta,MENORES CONTROLADOS,109301,13127,09
790,1,9,109300,A0200002,13,13108,26,40,23,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia,LACTANCIA MATERNA EXCLUSIVA,109300,13108,09
791,4,9,109313,A0200001,13,13125,26,34,18,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Irene Frei de Cid,Quilicura,MENORES CONTROLADOS,109313,13125,09
792,2,9,109320,A0200001,13,13303,6,,2,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Huertos Familiares,Tiltil,MENORES CONTROLADOS,109320,13303,09
793,3,9,109709,A0200001,13,13104,6,3,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Conchalí,MENORES CONTROLADOS,109709,13104,09
794,2,9,200961,A0200002,13,13107,1,1,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Victor Castro Wiren,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,200961,13107,09
795,1,9,109309,A0200001,13,13104,6,10,7,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Symon Ojeda,Conchalí,MENORES CONTROLADOS,109309,13104,09
796,2,9,109410,A0200001,13,13303,,1,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural La Capilla de Caleu,Tiltil,MENORES CONTROLADOS,109410,13303,09
797,2,9,200961,A0200001,13,13107,2,2,5,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Victor Castro Wiren,Huechuraba,MENORES CONTROLADOS,200961,13107,09
798,1,9,109715,A0200002,13,13125,0,3,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Pucara de Lasana,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109715,13125,09
799,3,9,109300,A0200002,13,13108,46,35,26,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia,LACTANCIA MATERNA EXCLUSIVA,109300,13108,09
800,3,9,109301,A0200002,13,13127,19,14,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Recoleta,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109301,13127,09
801,3,9,109301,A0200001,13,13127,28,21,20,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Recoleta,Recoleta,MENORES CONTROLADOS,109301,13127,09
802,1,9,109310,A0200002,13,13301,22,12,21,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Colina,Colina,LACTANCIA MATERNA EXCLUSIVA,109310,13301,09
803,1,9,109300,A0200001,13,13108,42,52,42,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia,MENORES CONTROLADOS,109300,13108,09
804,1,9,109323,A0200001,13,13107,10,8,19,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Salvador Allende Gossens,Huechuraba,MENORES CONTROLADOS,109323,13107,09
805,1,9,109316,A0200001,13,13301,24,16,22,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina,MENORES CONTROLADOS,109316,13301,09
806,1,9,109316,A0200002,13,13301,11,10,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina,LACTANCIA MATERNA EXCLUSIVA,109316,13301,09
807,2,9,109718,A0200002,13,13107,1,2,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Los Libertadores,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,109718,13107,09
808,1,9,109315,A0200002,13,13125,4,7,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Manuel Bustos Huerta,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109315,13125,09
809,1,9,109324,A0200002,13,13125,19,12,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Presidente Salvador Allende Gossens,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109324,13125,09
810,1,9,109321,A0200001,13,13108,17,22,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juan Antonio Ríos,Independencia,MENORES CONTROLADOS,109321,13108,09
811,1,9,109414,A0200002,13,13303,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Polpaico,Tiltil,LACTANCIA MATERNA EXCLUSIVA,109414,13303,09
812,1,9,109718,A0200002,13,13107,6,3,,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Los Libertadores,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,109718,13107,09
813,1,9,109420,A0200001,13,13301,0,0,1,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Chacabuco (Colina),Colina,MENORES CONTROLADOS,109420,13301,09
814,1,9,109310,A0200001,13,13301,30,26,33,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Colina,Colina,MENORES CONTROLADOS,109310,13301,09
815,1,9,109417,A0200002,13,13301,3,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Los Ingleses,Colina,LACTANCIA MATERNA EXCLUSIVA,109417,13301,09
816,1,9,109417,A0200001,13,13301,3,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Los Ingleses,Colina,MENORES CONTROLADOS,109417,13301,09
817,2,9,109302,A0200001,13,13104,16,10,12,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,MENORES CONTROLADOS,109302,13104,09
818,2,9,109718,A0200001,13,13107,1,2,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Los Libertadores,Huechuraba,MENORES CONTROLADOS,109718,13107,09
819,1,9,109303,A0200002,13,13127,6,5,4,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109303,13127,09
820,1,9,109315,A0200001,13,13125,10,16,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Manuel Bustos Huerta,Quilicura,MENORES CONTROLADOS,109315,13125,09
821,1,9,109324,A0200001,13,13125,34,25,18,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Presidente Salvador Allende Gossens,Quilicura,MENORES CONTROLADOS,109324,13125,09
822,1,9,109718,A0200001,13,13107,6,3,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Los Libertadores,Huechuraba,MENORES CONTROLADOS,109718,13107,09
823,2,9,201091,A0200001,13,13125,27,17,21,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Marta Ugarte Román,Quilicura,MENORES CONTROLADOS,201091,13125,09
824,1,9,109314,A0200002,13,13104,8,6,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juanita Aguirre,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109314,13104,09
825,1,9,109314,A0200001,13,13104,10,11,11,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juanita Aguirre,Conchalí,MENORES CONTROLADOS,109314,13104,09
826,1,9,109302,A0200002,13,13104,4,10,10,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109302,13104,09
827,2,9,109711,A0200001,13,13302,6,7,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Sol de Septiembre,Lampa,MENORES CONTROLADOS,109711,13302,09
828,1,9,109308,A0200002,13,13104,4,6,6,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Alberto Bachelet Martínez,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109308,13104,09
829,1,9,109308,A0200001,13,13104,8,15,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Alberto Bachelet Martínez,Conchalí,MENORES CONTROLADOS,109308,13104,09
830,1,9,109303,A0200001,13,13127,,,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta,MENORES CONTROLADOS,109303,13127,09
831,1,9,109709,A0200002,13,13104,4,1,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109709,13104,09
832,1,9,109709,A0200001,13,13104,6,2,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Conchalí,MENORES CONTROLADOS,109709,13104,09
833,2,9,109416,A0200002,13,13301,0,0,1,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Colorado,Colina,LACTANCIA MATERNA EXCLUSIVA,109416,13301,09
834,2,9,109711,A0200002,13,13302,2,2,,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Sol de Septiembre,Lampa,LACTANCIA MATERNA EXCLUSIVA,109711,13302,09
835,2,9,109309,A0200002,13,13104,4,2,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Symon Ojeda,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109309,13104,09
836,2,9,109305,A0200002,13,13107,6,6,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,109305,13107,09
837,2,9,109305,A0200001,13,13107,10,9,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba,MENORES CONTROLADOS,109305,13107,09
838,1,9,200304,A0200002,13,13125,5,0,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Quilicura,LACTANCIA MATERNA EXCLUSIVA,200304,13125,09
839,1,9,109313,A0200002,13,13125,16,17,12,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Irene Frei de Cid,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109313,13125,09
840,2,9,109416,A0200001,13,13301,0,0,1,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Colorado,Colina,MENORES CONTROLADOS,109416,13301,09
841,4,9,109311,A0200002,13,13302,23,17,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Bauza Frau,Lampa,LACTANCIA MATERNA EXCLUSIVA,109311,13302,09
842,1,9,200609,A0200002,13,13104,7,3,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA,200609,13104,09
843,2,9,109104,A0200001,13,13303,6,7,4,Servicio de Salud Metropolitano Norte,Hospital de Til Til,Tiltil,MENORES CONTROLADOS,109104,13303,09
844,4,9,109304,A0200002,13,13127,3,5,4,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109304,13127,09
845,1,9,201212,A0200001,13,13302,5,9,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juan Pablo II de Lampa,Lampa,MENORES CONTROLADOS,201212,13302,09
846,1,9,109313,A0200001,13,13125,23,25,20,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Irene Frei de Cid,Quilicura,MENORES CONTROLADOS,109313,13125,09
847,1,9,200347,A0200002,13,13104,2,1,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,LACTANCIA MATERNA EXCLUSIVA,200347,13104,09
848,4,9,109304,A0200001,13,13127,3,11,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,MENORES CONTROLADOS,109304,13127,09
849,1,9,200609,A0200001,13,13104,10,5,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,MENORES CONTROLADOS,200609,13104,09
850,2,9,109104,A0200002,13,13303,4,4,1,Servicio de Salud Metropolitano Norte,Hospital de Til Til,Tiltil,LACTANCIA MATERNA EXCLUSIVA,109104,13303,09
851,2,9,200609,A0200002,13,13104,1,1,,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA,200609,13104,09
852,1,9,201212,A0200002,13,13302,3,5,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juan Pablo II de Lampa,Lampa,LACTANCIA MATERNA EXCLUSIVA,201212,13302,09
853,1,9,109304,A0200002,13,13127,4,2,2,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109304,13127,09
854,1,9,201462,A0200002,13,13301,13,12,15,Servicio de Salud Metropolitano Norte,CESFAM La Reina de Colina,Colina,LACTANCIA MATERNA EXCLUSIVA,201462,13301,09
855,1,9,200304,A0200001,13,13125,6,0,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Quilicura,MENORES CONTROLADOS,200304,13125,09
856,1,9,109304,A0200001,13,13127,4,3,2,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,MENORES CONTROLADOS,109304,13127,09
857,1,9,200347,A0200001,13,13104,3,2,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,MENORES CONTROLADOS,200347,13104,09
858,3,9,109712,A0200002,13,13302,4,2,6,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Batuco,Lampa,LACTANCIA MATERNA EXCLUSIVA,109712,13302,09
859,4,9,109311,A0200001,13,13302,37,33,28,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Bauza Frau,Lampa,MENORES CONTROLADOS,109311,13302,09
860,3,9,109709,A0200002,13,13104,4,1,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109709,13104,09
861,4,9,109390,A0200002,13,13127,4,6,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Cristo Vive (ONG),Recoleta,LACTANCIA MATERNA EXCLUSIVA,109390,13127,09
862,4,9,109390,A0200001,13,13127,8,14,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Cristo Vive (ONG),Recoleta,MENORES CONTROLADOS,109390,13127,09
863,3,9,109712,A0200001,13,13302,9,4,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Batuco,Lampa,MENORES CONTROLADOS,109712,13302,09
864,1,9,109711,A0200002,13,13302,2,6,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Sol de Septiembre,Lampa,LACTANCIA MATERNA EXCLUSIVA,109711,13302,09
865,1,9,109711,A0200001,13,13302,6,6,4,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Sol de Septiembre,Lampa,MENORES CONTROLADOS,109711,13302,09
866,1,9,109416,A0200001,13,13301,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Colorado,Colina,MENORES CONTROLADOS,109416,13301,09
867,1,9,201462,A0200001,13,13301,25,23,40,Servicio de Salud Metropolitano Norte,CESFAM La Reina de Colina,Colina,MENORES CONTROLADOS,201462,13301,09
868,1,9,109713,A0200002,13,13125,2,2,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar La Foresta,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109713,13125,09
869,1,9,109713,A0200001,13,13125,3,2,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar La Foresta,Quilicura,MENORES CONTROLADOS,109713,13125,09
870,2,9,109309,A0200001,13,13104,6,5,12,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Symon Ojeda,Conchalí,MENORES CONTROLADOS,109309,13104,09
871,1,9,109419,A0200002,13,13301,2,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Santa Marta de Liray,Colina,LACTANCIA MATERNA EXCLUSIVA,109419,13301,09
872,1,9,109419,A0200001,13,13301,3,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Santa Marta de Liray,Colina,MENORES CONTROLADOS,109419,13301,09
873,2,9,109317,A0200002,13,13107,5,7,2,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar El Barrero,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,109317,13107,09
874,2,9,109713,A0200002,13,13125,1,,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar La Foresta,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109713,13125,09
875,2,9,201091,A0200002,13,13125,17,6,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Marta Ugarte Román,Quilicura,LACTANCIA MATERNA EXCLUSIVA,201091,13125,09
876,1,9,109321,A0200002,13,13108,7,9,7,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juan Antonio Ríos,Independencia,LACTANCIA MATERNA EXCLUSIVA,109321,13108,09
877,1,9,109317,A0200001,13,13107,11,5,6,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar El Barrero,Huechuraba,MENORES CONTROLADOS,109317,13107,09
878,1,9,109312,A0200001,13,13302,7,14,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Batuco,Lampa,MENORES CONTROLADOS,109312,13302,09
879,1,9,109311,A0200002,13,13302,23,17,5,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Bauza Frau,Lampa,LACTANCIA MATERNA EXCLUSIVA,109311,13302,09
880,1,9,109311,A0200001,13,13302,39,35,22,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Bauza Frau,Lampa,MENORES CONTROLADOS,109311,13302,09
881,1,9,109312,A0200002,13,13302,7,3,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Batuco,Lampa,LACTANCIA MATERNA EXCLUSIVA,109312,13302,09
882,1,9,109309,A0200002,13,13104,4,6,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Symon Ojeda,Conchalí,LACTANCIA MATERNA EXCLUSIVA,109309,13104,09
883,2,9,109307,A0200002,13,13127,3,8,3,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Recoleta,LACTANCIA MATERNA EXCLUSIVA,109307,13127,09
884,2,9,109307,A0200001,13,13127,9,12,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Recoleta,MENORES CONTROLADOS,109307,13127,09
885,2,9,200554,A0200001,13,13108,7,8,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Las Enredaderas,Independencia,MENORES CONTROLADOS,200554,13108,09
886,1,9,109305,A0200001,13,13107,11,10,11,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba,MENORES CONTROLADOS,109305,13107,09
887,2,9,109304,A0200002,13,13127,6,4,4,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109304,13127,09
888,2,9,109304,A0200001,13,13127,9,5,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,MENORES CONTROLADOS,109304,13127,09
889,2,9,200347,A0200002,13,13104,2,3,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,LACTANCIA MATERNA EXCLUSIVA,200347,13104,09
890,1,9,109317,A0200002,13,13107,7,5,5,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar El Barrero,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,109317,13107,09
891,2,9,109317,A0200001,13,13107,7,15,7,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar El Barrero,Huechuraba,MENORES CONTROLADOS,109317,13107,09
892,2,9,200554,A0200002,13,13108,5,7,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Las Enredaderas,Independencia,LACTANCIA MATERNA EXCLUSIVA,200554,13108,09
893,2,9,109300,A0200002,13,13108,35,27,23,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia,LACTANCIA MATERNA EXCLUSIVA,109300,13108,09
894,2,9,200347,A0200001,13,13104,2,7,4,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,MENORES CONTROLADOS,200347,13104,09
895,2,9,109414,A0200002,13,13303,3,,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Polpaico,Tiltil,LACTANCIA MATERNA EXCLUSIVA,109414,13303,09
896,2,9,109414,A0200001,13,13303,3,,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Polpaico,Tiltil,MENORES CONTROLADOS,109414,13303,09
897,4,9,201212,A0200002,13,13302,5,4,4,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juan Pablo II de Lampa,Lampa,LACTANCIA MATERNA EXCLUSIVA,201212,13302,09
898,4,9,201212,A0200001,13,13302,8,9,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Juan Pablo II de Lampa,Lampa,MENORES CONTROLADOS,201212,13302,09
899,2,9,109312,A0200002,13,13302,5,2,10,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Batuco,Lampa,LACTANCIA MATERNA EXCLUSIVA,109312,13302,09
900,2,9,109312,A0200001,13,13302,7,8,18,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Batuco,Lampa,MENORES CONTROLADOS,109312,13302,09
901,2,9,201462,A0200001,13,13301,27,16,8,Servicio de Salud Metropolitano Norte,CESFAM La Reina de Colina,Colina,MENORES CONTROLADOS,201462,13301,09
902,2,9,109300,A0200001,13,13108,53,41,34,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia,MENORES CONTROLADOS,109300,13108,09
903,2,9,109313,A0200002,13,13125,16,16,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Irene Frei de Cid,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109313,13125,09
904,3,9,109311,A0200002,13,13302,20,20,7,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Bauza Frau,Lampa,LACTANCIA MATERNA EXCLUSIVA,109311,13302,09
905,2,9,109413,A0200002,13,13303,,1,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Rungue,Tiltil,LACTANCIA MATERNA EXCLUSIVA,109413,13303,09
906,2,9,201462,A0200002,13,13301,16,8,5,Servicio de Salud Metropolitano Norte,CESFAM La Reina de Colina,Colina,LACTANCIA MATERNA EXCLUSIVA,201462,13301,09
907,1,9,200961,A0200002,13,13107,1,4,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Victor Castro Wiren,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,200961,13107,09
908,2,9,109313,A0200001,13,13125,23,23,20,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Irene Frei de Cid,Quilicura,MENORES CONTROLADOS,109313,13125,09
909,1,9,200961,A0200001,13,13107,3,6,1,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Victor Castro Wiren,Huechuraba,MENORES CONTROLADOS,200961,13107,09
910,2,9,109413,A0200001,13,13303,,1,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Rungue,Tiltil,MENORES CONTROLADOS,109413,13303,09
911,3,9,109311,A0200001,13,13302,28,29,29,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar José Bauza Frau,Lampa,MENORES CONTROLADOS,109311,13302,09
