,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
33,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,19,4,4,7,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
34,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,14,28,3,10,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
35,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,,1,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
36,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,,1,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
37,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,4,,1,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
38,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,1,4,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
39,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,,2,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
40,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,141,38,8,64,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
41,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,74,,7,29,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
42,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,3,1,1,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
43,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,151,32,10,77,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
44,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,76,0,5,36,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
45,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,33,0,1,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
46,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,16,24,2,3,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
47,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,,3,0,1,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
48,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,10,0,1,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
49,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,1,3,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
50,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,,4,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
51,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,136,38,10,58,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
52,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,84,,4,28,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
53,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,30,4,2,10,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
54,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,13,26,4,16,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
55,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,1,3,0,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
56,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,1,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
57,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,4,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
58,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,184,61,11,50,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
59,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,149,6,11,38,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
60,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,3,19,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
61,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,7,32,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
62,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,25,0,0,9,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
63,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,204,68,8,59,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
64,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,142,4,5,45,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
65,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,11,17,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
66,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,27,43,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
67,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,24,0,2,8,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
68,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,15,19,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
69,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,22,58,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
70,RN egresados con madres serología positiva (VIH),12,112101,29101770,13,13122,2,0,0,2,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
71,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,13,0,1,2,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
72,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,185,84,7,56,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
73,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,133,6,6,40,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
74,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,3,25,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
75,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,194,66,10,56,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
76,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,147,2,6,40,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
77,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,19,36,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
78,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,25,0,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
79,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,3,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
80,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,168,66,8,49,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
81,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,131,6,6,35,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
82,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,3,16,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
83,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,14,41,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
84,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),12,112101,24311027,13,13122,1,0,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
85,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,118,8,6,26,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
86,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,18,27,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
87,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,16,44,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
88,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,189,84,12,56,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
89,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,139,5,9,42,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
90,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,15,26,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
