,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
134,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,152,0,0,51,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
135,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,118,0,0,38,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
136,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,33,0,0,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
137,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
138,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
139,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
140,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,152,22,3,28,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
141,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,129,16,0,21,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
142,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,129,16,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
143,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,23,5,0,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
144,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
145,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,132,0,7,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
146,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,132,31,7,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
147,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,29,17,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
148,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,161,48,8,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
149,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,2,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
150,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
151,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,156,26,2,51,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
152,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,128,0,1,46,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
153,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,128,17,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
154,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,27,9,1,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
155,RN egresados con madres acogidas a Ley 21.155,14,114105,29101772,13,13110,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
156,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
157,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,150,35,4,37,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
158,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,121,0,2,34,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
159,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,121,24,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
160,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,27,6,2,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
161,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,4,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
162,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,2,0,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
163,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,2,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
164,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
165,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
166,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,162,33,0,45,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
167,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,127,20,4,38,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
168,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,20,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
169,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,35,13,1,7,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
170,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,159,38,7,40,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
171,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,133,0,4,27,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
172,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,8,1,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
173,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,26,26,2,13,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
174,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,135,15,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
175,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,114,0,2,23,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
176,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,9,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
177,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,21,6,1,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
178,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,118,34,4,41,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
179,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,1,,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
180,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,2,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
181,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,92,0,2,22,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
182,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,20,0,6,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
183,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,25,12,1,10,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
184,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,128,26,0,40,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
185,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,96,0,0,28,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
186,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,4,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
187,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,147,31,3,18,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
188,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,54,0,5,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
189,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,47,15,9,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
190,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,16,11,3,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
191,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,4,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
192,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
193,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,5,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
194,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,127,48,8,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
195,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,119,0,14,12,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
196,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,,33,6,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
197,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,8,8,1,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
198,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,8,1,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
199,RN egresados con madres acogidas a Ley 21.155,14,114103,29101772,13,13131,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
200,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,126,53,7,6,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
201,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,108,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
202,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,,31,4,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
203,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,18,12,2,2,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
204,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,125,46,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
205,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,116,28,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
206,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,9,18,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
207,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
208,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,2,8,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
209,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,142,49,19,26,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
210,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,50,0,7,6,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
211,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,46,23,6,12,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
212,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,24,12,2,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
213,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114103,24311027,13,13131,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
214,RN egresados con madres serología positiva (VIH),14,114103,29101770,13,13131,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
215,RN egresados con madres acogidas a Ley 21.155,14,114103,29101772,13,13131,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
216,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,132,52,5,6,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
217,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,126,37,3,6,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
218,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,6,10,2,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
219,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114103,24311027,13,13131,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
220,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,110,36,18,19,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
221,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,45,0,6,8,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
222,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,51,22,9,9,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
223,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,13,8,3,2,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
224,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114103,24311027,13,13131,0,4,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
225,RN egresados con madres acogidas a Ley 21.155,14,114103,29101772,13,13131,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
226,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114103,24311027,13,13131,,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
227,RN egresados con madres serología positiva (VIH),14,114103,29101770,13,13131,,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
228,RN egresados con madres acogidas a Ley 21.155,14,114103,29101772,13,13131,,1,1,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
229,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,,4,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
230,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,161,40,11,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
231,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,98,0,2,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
232,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,7,2,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
233,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,,39,4,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
234,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,,19,2,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
235,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,,15,1,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
236,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,151,41,8,16,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
237,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,75,0,5,10,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
238,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,13,24,2,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
239,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,0,9,1,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
240,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114103,24311027,13,13131,1,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
241,RN egresados con madres serología positiva (VIH),14,114103,29101770,13,13131,1,0,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
242,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,7,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
243,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,168,51,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
244,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,113,36,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
245,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,12,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
246,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,0,8,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
247,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,2,6,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
248,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,25,19,0,2,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
249,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,17,13,3,2,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
250,RN egresados con madres serología positiva (VIH),14,114103,29101770,13,13131,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
251,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,179,57,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
252,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,169,35,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón
253,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,89,0,0,17,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
254,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,12,36,0,3,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
255,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,121,26,0,20,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
256,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,0,6,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
257,RN egresados con madres serología positiva (VIH),14,114101,29101770,13,13201,1,0,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
258,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,164,65,13,29,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
259,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,117,0,12,14,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
260,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,17,31,0,6,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
261,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,21,23,0,3,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
262,RN egresados con madres serología positiva (VIH),14,114101,29101770,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
263,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,7,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
264,RN egresados solo fórmula por protección o madre grave,14,114101,24311028,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
265,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,126,86,1,57,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
266,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,138,70,1,20,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
267,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,108,0,1,16,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
268,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,14,40,0,2,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
269,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,14,22,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
270,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,2,5,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
