,descripcion_prestacion,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
228699,RN egresados con madres acogidas a Ley 21.155,6,10,2024,110100,29101772,13,13101,3.0,,0.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
228700,Egresados con lactancia materna exclusiva (código histórico),6,10,2024,110100,24200100,13,13101,133.0,6.0,4.0,47.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
437572,RN egresados con madres acogidas a Ley 21.155,9,10,2024,110100,29101772,13,13101,2.0,,0.0,2.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
437573,Egresados con lactancia materna exclusiva (código histórico),9,10,2024,110100,24200100,13,13101,94.0,3.0,10.0,36.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
721224,RN egresados con madres acogidas a Ley 21.155,10,10,2024,110100,29101772,13,13101,5.0,0.0,0.0,2.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
721226,Egresados con lactancia materna exclusiva (código histórico),10,10,2024,110100,24200100,13,13101,118.0,2.0,7.0,50.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1626983,Total de recién nacidos/as egresados/as,2,10,2024,110100,24200134,13,13101,147.0,7.0,30.0,94.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1626985,RN egresados con LME durante hospitalización y al alta,2,10,2024,110100,24300103,13,13101,92.0,,0.0,38.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1626987,RN egresados con madres serología positiva (VIH),2,10,2024,110100,29101770,13,13101,1.0,,0.0,0.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1626989,RN egresados con madres acogidas a Ley 21.155,2,10,2024,110100,29101772,13,13101,5.0,,0.0,0.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1626991,Egresados con lactancia materna exclusiva (código histórico),2,10,2024,110100,24200100,13,13101,127.0,7.0,30.0,56.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1627848,Total de recién nacidos/as egresados/as,5,10,2024,110100,24200134,13,13101,167.0,42.0,8.0,59.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1627850,RN egresados con LME durante hospitalización y al alta,5,10,2024,110100,24300103,13,13101,113.0,1.0,6.0,41.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1627852,RN egresados con madres acogidas a Ley 21.155,5,10,2024,110100,29101772,13,13101,2.0,,0.0,0.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1627854,Egresados con lactancia materna exclusiva (código histórico),5,10,2024,110100,24200100,13,13101,144.0,1.0,8.0,52.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1700014,Total de recién nacidos/as egresados/as,2,9,2024,109100,24200134,13,13108,423.0,90.0,0.0,237.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700015,RN egresados con LME durante hospitalización y al alta,2,9,2024,109100,24300103,13,13108,346.0,2.0,0.0,166.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700069,RN egresados con madres serología positiva (VIH),2,9,2024,109100,29101770,13,13108,2.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700070,RN egresados con madres acogidas a Ley 21.155,2,9,2024,109100,29101772,13,13108,3.0,0.0,0.0,2.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700071,Egresados con lactancia materna exclusiva (código histórico),2,9,2024,109100,24200100,13,13108,363.0,52.0,0.0,213.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700843,Total de recién nacidos/as egresados/as,7,9,2024,109100,24200134,13,13108,357.0,92.0,0.0,198.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700844,RN egresados con LME durante hospitalización y al alta,7,9,2024,109100,24300103,13,13108,293.0,3.0,0.0,149.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700845,RN egresados con madres serología positiva (VIH),7,9,2024,109100,29101770,13,13108,2.0,0.0,0.0,2.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1700853,Egresados con lactancia materna exclusiva (código histórico),7,9,2024,109100,24200100,13,13108,317.0,31.0,0.0,172.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1702839,Total de recién nacidos/as egresados/as,12,9,2024,109100,24200134,13,13108,357.0,115.0,0.0,344.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1702840,RN egresados con LME durante hospitalización y al alta,12,9,2024,109100,24300103,13,13108,321.0,44.0,0.0,150.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1702841,RN egresados con madres acogidas a Ley 21.155,12,9,2024,109100,29101772,13,13108,9.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1702842,Egresados con lactancia materna exclusiva (código histórico),12,9,2024,109100,24200100,13,13108,321.0,44.0,0.0,166.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1703907,Total de recién nacidos/as egresados/as,6,9,2024,109100,24200134,13,13108,341.0,84.0,0.0,151.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1703908,RN egresados con LME durante hospitalización y al alta,6,9,2024,109100,24300103,13,13108,272.0,2.0,0.0,119.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
