,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
0,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,200962,04040420,13,13105,2,1,1,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
1,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,200962,04040421,13,13105,4,0,1,2,1,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
2,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,13,200962,09600288,13,13105,6,,,,,,6,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
3,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,200962,09600289,13,13105,13,2,4,5,2,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
4,Consulta de Lactancia por profesional  - Nutricionista ,13,200962,04040426,13,13105,18,2,6,7,3,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
5,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,200962,04040420,13,13105,1,0,0,1,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
6,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,13,200962,09600288,13,13105,6,,,,,,6,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
7,Consulta de Lactancia por profesional  - Nutricionista ,13,200962,04040426,13,13105,1,0,0,1,0,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
8,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113717,04040420,13,13105,1,1,0,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
9,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113717,04040421,13,13105,6,4,2,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
10,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113717,09600289,13,13105,7,5,2,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
11,Consulta de Lactancia por profesional  - Nutricionista ,13,113717,04040426,13,13105,7,5,2,0,0,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
12,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,200962,04040420,13,13105,2,1,1,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
13,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,200962,04040421,13,13105,8,3,5,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
14,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,13,200962,09600288,13,13105,2,,,,,,2,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
15,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,200962,09600289,13,13105,14,4,6,2,2,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
16,Consulta de Lactancia por profesional  - Enfermera/o,13,200962,04040425,13,13105,12,4,6,0,0,0,2,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
17,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113717,04040420,13,13105,2,2,0,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
18,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113717,04040421,13,13105,11,4,5,2,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
19,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113717,09600289,13,13105,13,6,5,2,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
