,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
20,Consulta de Lactancia por profesional  - Nutricionista ,13,113717,04040426,13,13105,13,6,5,2,0,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
21,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,200962,04040420,13,13105,1,0,0,0,1,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
22,Consulta de Lactancia - Otras consultas de Lactancia Materna,13,200962,09600287,13,13105,1,0,0,0,1,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
23,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113717,04040420,13,13105,3,3,,,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
24,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,13,200962,09600288,13,13105,5,,,,,,5,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
25,Consulta de Lactancia por profesional  - Nutricionista ,13,200962,04040426,13,13105,7,0,0,0,2,0,5,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
26,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113717,04040420,13,13105,3,3,,,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
27,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113717,04040421,13,13105,5,2,,3,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
28,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113717,09600289,13,13105,8,5,,3,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
29,Consulta de Lactancia por profesional  - Nutricionista ,13,113717,04040426,13,13105,8,5,,3,,,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
30,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113717,04040421,13,13105,10,4,6,,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
31,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113717,09600289,13,13105,13,7,6,,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
32,Consulta de Lactancia por profesional  - Nutricionista ,13,113717,04040426,13,13105,13,7,6,,,,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
33,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,200962,04040420,13,13105,9,4,5,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
34,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,13,200962,09600288,13,13105,5,,,,,,5,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
35,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,200962,09600289,13,13105,9,4,5,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
36,Consulta de Lactancia por profesional  - Nutricionista ,13,200962,04040426,13,13105,14,4,5,0,0,0,5,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
37,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113717,04040420,13,13105,5,2,3,,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
38,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113717,04040421,13,13105,8,3,5,,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
39,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113717,09600289,13,13105,13,5,8,,,,,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
40,Consulta de Lactancia por profesional  - Nutricionista ,13,113717,04040426,13,13105,13,5,8,,,,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
41,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113324,04040420,13,13105,12,11,1,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
42,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113324,04040421,13,13105,35,23,10,2,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
43,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113324,09600289,13,13105,1,0,0,1,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
44,Consulta de Lactancia por profesional  - Nutricionista ,13,113324,04040426,13,13105,48,34,11,3,0,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
45,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113324,04040420,13,13105,8,7,1,0,0,0,,1,1,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
46,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113324,04040421,13,13105,37,16,10,10,1,0,,1,1,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
47,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113324,09600289,13,13105,2,2,0,0,0,0,,1,1,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
48,Consulta de Lactancia por profesional  - Nutricionista ,13,113324,04040426,13,13105,47,25,11,10,1,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
49,Consulta de Lactancia por profesional  - Nutricionista ,13,113324,04040426,13,13105,46,19,14,10,3,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
50,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113324,04040420,13,13105,9,9,0,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
51,Consulta de Lactancia por profesional  - Médico/a,10,110331,04040423,13,13103,21,,10,11,,,0,0,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
52,Consulta de Lactancia por profesional  - Enfermera/o,10,110331,04040425,13,13103,3,0,2,0,1,0,0,0,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
53,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,10,110331,04040421,13,13103,44,,24,15,3,2,,0,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
54,Consulta de Lactancia - Consulta Lactancia Materna de alerta,10,110331,04040420,13,13103,18,7,5,5,1,0,,0,1,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
55,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,10,110331,04040421,13,13103,14,4,3,5,2,0,,1,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
56,Consulta de Lactancia por profesional  - Matrona/ón,10,110331,04040424,13,13103,7,7,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
57,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113324,04040421,13,13105,57,19,32,5,1,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
58,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113324,09600289,13,13105,1,0,0,0,1,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
59,Consulta de Lactancia por profesional  - Nutricionista ,13,113324,04040426,13,13105,67,28,32,5,2,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
60,Consulta de Lactancia por profesional  - Enfermera/o,14,114331,04040425,13,13110,78,32,23,13,10,0,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
61,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,14,202041,04040421,13,13110,2,1,0,1,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida
62,Consulta de Lactancia - Otras consultas de Lactancia Materna,14,202041,09600287,13,13110,2,1,1,0,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida
63,Consulta de Lactancia por profesional  - Enfermera/o,14,202041,04040425,13,13110,4,2,1,1,0,0,0,0,0,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida
64,Consulta de Lactancia - Consulta Lactancia Materna de alerta,14,200475,04040420,13,13110,4,0,0,0,0,4,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
65,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,14,200475,04040421,13,13110,6,2,0,1,0,3,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
66,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,14,200475,09600289,13,13110,2,0,2,0,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
67,Consulta de Lactancia por profesional  - Enfermera/o,14,200475,04040425,13,13110,9,1,0,1,0,7,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
68,Consulta de Lactancia por profesional  - Nutricionista ,14,200475,04040426,13,13110,3,1,2,0,0,0,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
69,Consulta de Lactancia - Consulta Lactancia Materna de alerta,14,200475,04040420,13,13110,1,1,0,0,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
70,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,14,200475,04040421,13,13110,4,0,1,3,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
71,Consulta de Lactancia - Otras consultas de Lactancia Materna,14,200475,09600287,13,13110,3,0,1,1,0,1,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
72,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,14,200475,09600288,13,13110,3,,,,,,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
73,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,14,200475,09600289,13,13110,5,1,2,2,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
74,Consulta de Lactancia por profesional  - Matrona/ón,14,200475,04040424,13,13110,6,1,0,2,0,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
75,Consulta de Lactancia por profesional  - Enfermera/o,14,200475,04040425,13,13110,6,1,2,2,0,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
76,Consulta de Lactancia por profesional  - Nutricionista ,14,200475,04040426,13,13110,4,0,2,2,0,0,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida
77,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109304,04040420,13,13127,4,4,,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
78,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109304,04040421,13,13127,9,3,2,4,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
79,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109304,09600287,13,13127,3,,,,2,1,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
80,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109304,09600289,13,13127,16,7,2,4,2,1,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
81,Consulta de Lactancia por profesional  - Matrona/ón,9,109304,04040424,13,13127,4,4,,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
82,Consulta de Lactancia por profesional  - Nutricionista ,9,109304,04040426,13,13127,12,3,2,4,2,1,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
83,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109308,04040420,13,13104,9,3,3,3,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Alberto Bachelet Martínez,Conchalí
84,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109308,04040421,13,13104,4,1,,2,1,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Alberto Bachelet Martínez,Conchalí
85,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,9,109308,09600288,13,13104,3,,,,,,3,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Alberto Bachelet Martínez,Conchalí
86,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109308,09600289,13,13104,6,6,,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Alberto Bachelet Martínez,Conchalí
87,Consulta de Lactancia por profesional  - Matrona/ón,9,109308,04040424,13,13104,2,2,,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Alberto Bachelet Martínez,Conchalí
88,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109304,04040421,13,13127,19,8,7,4,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
89,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109304,09600287,13,13127,3,,,,3,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
90,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109304,09600289,13,13127,20,6,7,4,3,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
91,Consulta de Lactancia por profesional  - Matrona/ón,9,109304,04040424,13,13127,14,14,,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
92,Consulta de Lactancia por profesional  - Nutricionista ,9,109304,04040426,13,13127,22,8,7,4,3,,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta
93,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109711,04040420,13,13302,7,5,1,0,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Sol de Septiembre,Lampa
94,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109303,09600287,13,13127,7,6,0,1,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta
95,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109303,09600289,13,13127,2,1,1,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta
96,Consulta de Lactancia por profesional  - Matrona/ón,9,109303,04040424,13,13127,21,21,,,,,0,0,14,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta
97,Consulta de Lactancia por profesional  - Nutricionista ,9,109303,04040426,13,13127,38,10,11,9,8,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta
98,Consulta de Lactancia - Consulta Lactancia Materna de alerta,12,112319,04040420,13,13118,12,3,7,,2,,,0,0,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Padre Alberto Hurtado,Macul
99,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109307,04040420,13,13127,6,3,3,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Recoleta
100,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109307,04040421,13,13127,11,4,4,3,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Recoleta
101,Consulta de Lactancia por profesional  - Nutricionista ,9,109307,04040426,13,13127,17,7,7,3,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Recoleta
102,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109390,04040421,13,13127,14,12,2,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Cristo Vive (ONG),Recoleta
103,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109390,09600287,13,13127,4,4,0,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Cristo Vive (ONG),Recoleta
104,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,9,109390,09600288,13,13127,24,,,,,,24,1,4,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Cristo Vive (ONG),Recoleta
105,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109390,09600289,13,13127,42,22,8,8,2,2,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Cristo Vive (ONG),Recoleta
106,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109711,04040421,13,13302,7,0,3,4,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Sol de Septiembre,Lampa
107,Consulta de Lactancia por profesional  - Nutricionista ,9,109711,04040426,13,13302,13,4,4,4,1,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Sol de Septiembre,Lampa
108,Consulta de Lactancia por profesional  - Matrona/ón,9,109715,04040424,13,13125,3,3,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Pucara de Lasana,Quilicura
109,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109305,04040420,13,13107,15,9,6,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba
110,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109305,04040421,13,13107,34,15,15,2,1,1,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba
111,Consulta de Lactancia por profesional  - Matrona/ón,9,109305,04040424,13,13107,11,7,4,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba
112,Consulta de Lactancia por profesional  - Nutricionista ,9,109305,04040426,13,13107,38,17,17,2,1,1,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba
113,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109300,04040420,13,13108,14,10,2,1,0,1,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia
114,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109300,04040421,13,13108,12,6,3,3,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia
115,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109300,09600287,13,13108,3,3,0,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia
116,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109300,09600289,13,13108,5,2,3,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia
117,Consulta de Lactancia por profesional  - Nutricionista ,12,112322,04040426,13,13122,19,10,2,5,2,,0,0,0,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Padre Gerardo Whelan,Peñalolén
118,Consulta de Lactancia por profesional  - Matrona/ón,9,109709,04040424,13,13104,4,4,,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Conchalí
119,Consulta de Lactancia por profesional  - Nutricionista ,9,109709,04040426,13,13104,5,2,3,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Conchalí
120,Consulta de Lactancia por profesional  - Médico/a,10,110331,04040423,13,13103,8,0,3,5,0,0,0,0,1,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
121,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109301,04040421,13,13127,20,4,11,5,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Recoleta,Recoleta
122,Consulta de Lactancia por profesional  - Nutricionista ,9,109301,04040426,13,13127,31,12,13,6,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Recoleta,Recoleta
123,Consulta de Lactancia - Consulta Lactancia Materna de alerta,10,110331,04040420,13,13103,11,,4,1,6,,,1,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
124,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,10,110331,04040421,13,13103,33,13,7,11,2,,,4,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
125,Consulta de Lactancia por profesional  - Médico/a,10,110331,04040423,13,13103,3,,2,1,,,0,1,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
126,Consulta de Lactancia por profesional  - Enfermera/o,10,110331,04040425,13,13103,7,,2,,5,,0,0,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
127,Consulta de Lactancia por profesional  - Nutricionista ,10,110331,04040426,13,13103,34,13,7,11,3,,0,4,0,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia
